"","GSM2183532_NTak_LBOV_Ext_Biopsy_ATR10_HG133_2-a1.CEL.gz","GSM2183533_NTak_LBOV_Ext_Biopsy_ATR11_HG133_2-a1.CEL.gz","GSM2183534_NTak_LBOV_Ext_Biopsy_ATR18_HG133_2-a1_2.CEL.gz","GSM2183535_NTak_LBOV_Ext_Biopsy_ATR9_HG133_2-a1.CEL.gz","GSM2183536_NTak_LBOV_Ext_Biopsy_ATR9_2_HG133_2-a1.CEL.gz","GSM2183537_NTak_LBOV_Ext_Biopsy_2005scoop30_HG133_2-a1.CEL.gz","GSM2183538_NTak_LBOV_Ext_Biopsy_2005scoop37_HG133_2-a1.CEL.gz","GSM2183539_NTak_LBOV_Ext_Biopsy_2000HSOA10_HG133_2-a1.CEL.gz","GSM2183540_NTak_LBOV_Ext_Biopsy_2003OA11_HG133_2-a1.CEL.gz","GSM2183541_NTak_LBOV_Ext_Biopsy_2003OA12_HG133_2-a1.CEL.gz","GSM2183542_NTak_LBOV_Ext_Biopsy_2003OA17_HG133_2-a1.CEL.gz","GSM2183543_NTak_LBOV_Ext_Biopsy_2003OA18_HG133_2-a1.CEL.gz","GSM2183544_NTak_LBOV_Ext_Biopsy_2005scoop32_HG133_2-a1.CEL.gz","GSM2183545_NTak_LBOV_Ext_Biopsy_2005scoop36_HG133_2-a1.CEL.gz","GSM2183546_NTak_LBOV_Ext_Biopsy_2006scoop48_HG133_2-a1.CEL.gz","GSM2183547_NTak_LBOV_Ext_Biopsy_LUMC3_HG133_2-a1.CEL.gz","GSM2183548_NTak_LBOV_Ext_Biopsy_LUMC59_HG133_2-a1.CEL.gz"
"1552310_at",7.12989812373147,6.22143856590624,6.88552604550478,6.42877021666582,7.11675115100223,6.34159024474325,7.28091881100075,6.52333798060515,7.40316185952166,8.1533864690637,7.67403757133984,8.20867459296286,6.60095705013793,7.29770113055665,7.08915787113645,6.20374344255487,7.23005186580283
"1552311_a_at",6.84742951055784,6.76643250347288,6.86891719147482,7.05845618746465,6.73170959435479,7.98155057648589,6.9800416410483,6.81808979704813,6.60218243072074,6.0849560052927,6.66551558496984,6.28761684601083,7.20202169928026,6.9370344930437,6.37082772634402,7.06519075874851,6.37255990136252
"1552312_a_at",4.2405435510816,3.95052644649636,3.82782991556814,3.89009743570704,4.04927165834978,3.31488432181818,4.05808962732169,4.41808870128097,5.42623569989257,4.41443829154434,4.6643849739379,4.44457763920358,4.15978000713382,4.0492693136242,4.45415844929929,3.31641238484715,6.08328060961113
"1552314_a_at",4.19252716997082,3.97506204620368,4.07980060979248,4.11338539216525,3.75197272416077,4.30999388533436,3.44405750979326,3.55189762503745,3.90555253689806,3.71114412863899,3.6341771766926,3.69865969222228,3.8062246987208,3.68114885070029,3.85996764004825,4.24680775478011,4.1294199380827
"1552315_at",6.05988480877451,6.04096610250772,6.86409470817493,5.77775555817635,5.81338661508776,6.39974549414382,5.99383883534394,6.34283765556047,6.75234418504435,6.46715070304487,6.10976773036386,6.13156581501182,5.71722745735766,5.78782721229876,6.11982655612475,6.20303355933296,6.28445323380892
"1552316_a_at",7.53158095111979,6.92783730752553,7.86021261460491,7.30015460231716,7.28385001730336,6.69339229166696,7.15027433017493,9.23948470854344,8.68783945383493,8.48880164576164,7.85011279385272,8.28659614263301,6.80833256991976,7.41907520784739,7.90261337530013,7.06240196559892,7.4220140205879
"1552318_at",6.46923046786548,6.41864018893598,7.55031614892038,6.59773381746177,6.91127821267362,6.53795250148415,6.94281000421763,8.48053947174994,7.92556803387236,7.93004495494908,6.89397592966859,7.75980935683748,6.11484055668791,7.19067995672139,7.08655207173708,6.27153223292204,6.30369928628691
"1552319_a_at",3.26155449509064,3.88111470091155,3.76261880533665,4.03118791536334,3.43532750005371,3.91327594282298,3.70108527481165,3.61216224564516,3.26281753188599,3.37572926604226,3.40687595579224,3.42440108617556,3.52054932519601,3.34267297931721,3.49779509192889,4.00062938754025,3.35781353258272
"1552320_a_at",3.31477502343999,3.05547351765173,2.9153040124562,3.09893097045244,3.11123748951519,3.76060690509489,3.1043813632037,3.23773590663753,3.09718314543586,3.02490198106347,3.00479321480313,2.90827225869994,3.34166024584257,3.16700867956214,3.08899409864122,3.05107937412881,3.05156016230399
"1552321_a_at",3.3032691489496,3.5577876987746,3.42471663111338,3.2827438099853,3.23591404113886,3.41793929559447,3.33063099188972,3.27592598002147,3.19632330207291,3.22320001562346,3.3354292715222,3.21301016005778,3.38987050416614,3.13422490345997,3.27592598002147,3.68068554719957,3.14206032815543
