"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00286862646781008,0.350282227126079,0.815,0.744,1,"2","PEA15"
0.00293760531260349,0.820496693856047,0.303,0.213,1,"2","CHKA"
0.00293779141734906,0.48795715346597,0.865,0.838,1,"2","EIF4E"
0.00295172838242003,0.516499512145606,0.607,0.515,1,"2","GJA1"
0.00297413020846173,0.445867754804476,0.315,0.214,1,"2","CDKL1"
0.00316049842167952,0.634969731216664,0.663,0.602,1,"2","TMED5"
0.00320567167102333,0.621524402750546,0.455,0.356,1,"2","PTHLH"
0.0032488520599563,0.630649643106087,0.629,0.545,1,"2","ATP6V0D1"
0.0033476625197598,0.520134248983918,0.871,0.84,1,"2","RABGEF1"
0.00338318537247371,0.532101324813406,0.635,0.522,1,"2","GBP2"
0.0034524019516149,0.750463397097431,0.489,0.391,1,"2","ZPR1"
0.0035092292474413,0.648183784943128,0.573,0.491,1,"2","RC3H1"
0.00359658563327386,0.590577037172939,0.59,0.527,1,"2","FOXO3"
0.00373019658456592,0.545018038691845,0.562,0.464,1,"2","CBR1"
0.00389959004867077,0.262242587948315,0.989,0.969,1,"2","HMGB1"
0.00397625773817561,0.35014615607138,0.809,0.734,1,"2","CAST"
0.00405022337825056,0.530629346775607,0.736,0.678,1,"2","RNH1"
0.00406365732153098,0.50873140201666,0.758,0.731,1,"2","PRPF40A"
0.00406871754234134,1.21386072305979,0.337,0.251,1,"2","TIFA"
0.00408228841124643,0.489315622013793,0.927,0.887,1,"2","DNAJB9"
0.00409462621758845,0.888332108007337,0.438,0.358,1,"2","UBIAD1"
0.00428875897604971,0.41455839133662,0.798,0.746,1,"2","MAPRE1"
0.00456309043079962,0.962869406499466,0.315,0.221,1,"2","ZNF143"
0.00459168677442974,1.1267236516111,0.382,0.295,1,"2","HIF1AN"
0.00459501494448499,0.775281617160559,0.657,0.597,1,"2","CHIC2"
0.00468408755830721,0.782694340122754,0.371,0.282,1,"2","PLIN2"
0.00486585698492206,0.333915526477241,0.955,0.932,1,"2","KTN1"
0.00495632101896141,0.954571929105769,0.264,0.183,1,"2","EZH2"
0.00508638505178448,1.14050724225691,0.309,0.228,1,"2","PES1"
0.00516056361343749,0.459339103541251,0.253,0.164,1,"2","LPXN"
0.00524126024510532,0.67073647585608,0.725,0.745,1,"2","ANP32B"
0.00524424975601855,1.37281713359334,0.506,0.432,1,"2","DDX39A"
0.00549195331905263,0.284134021469544,1,0.98,1,"2","NACA"
0.00550709916916237,0.371214997715096,0.624,0.524,1,"2","BAZ1A"
0.00566733886754017,0.281430070530275,0.933,0.89,1,"2","VAPA"
0.0056945350232067,0.32614096336232,0.725,0.622,1,"2","PNO1"
0.00573242722705153,0.631209499355044,0.539,0.466,1,"2","UBE2G2"
0.0058263417350613,0.9163717113996,0.292,0.207,1,"2","INSR"
0.00587803962331253,1.37362993703359,0.275,0.202,1,"2","KLHL11"
0.00606583288398227,0.284923957905878,0.511,0.4,1,"2","C3orf58"
0.00618372301241404,0.574760149923232,0.517,0.435,1,"2","TMEM106C"
0.00623564753973335,0.339216675505254,0.949,0.942,1,"2","LRP1"
0.00628556679205396,0.291754692902593,0.899,0.853,1,"2","DNAJC3"
0.006415200592029,0.349469236282476,0.837,0.784,1,"2","DPP7"
0.00641732770621205,0.503028189320696,0.444,0.337,1,"2","UBXN7"
0.00645668645200648,0.660959885879514,0.522,0.474,1,"2","CLTB"
0.00661239202887267,1.4457108501239,0.292,0.209,1,"2","CCDC71L"
0.00666825107047254,0.447277025833682,0.843,0.765,1,"2","TFRC"
0.00669922796337655,0.70860075513042,0.489,0.389,1,"2","FGFR2"
0.00671538013371904,0.700838367143755,0.427,0.333,1,"2","ZCCHC8"
0.00678276877863906,0.394769324669985,0.798,0.757,1,"2","MRPL32"
0.00708035849608502,0.351246200117406,0.927,0.923,1,"2","CD44"
0.00708615744053317,0.283575997648326,0.978,0.953,1,"2","DDX3X"
0.00712959827659894,0.370140020004759,0.522,0.427,1,"2","ERO1LB"
0.00713943320432062,0.965550488662225,0.326,0.24,1,"2","CDKN2B"
0.00716044632077871,0.326017846400948,0.82,0.819,1,"2","WSB1"
0.00716197547313469,0.303053544304085,0.461,0.37,1,"2","NOP2"
0.00718694837676608,0.957232449764771,0.494,0.405,1,"2","TGM2"
0.0074752349973755,0.647706576935484,0.197,0.296,1,"2","MCEE"
0.00762532041386288,0.285942154795427,0.646,0.535,1,"2","DMKN"
0.00763818985328705,0.641989963906083,0.584,0.522,1,"2","FNBP4"
0.0076670667488009,0.406031457935557,0.629,0.574,1,"2","KIAA1191"
0.00771456828526411,1.68616366907706,0.275,0.191,1,"2","CXCL2"
0.00794801834997829,0.921115773033745,0.455,0.408,1,"2","TP53RK"
0.00810840990947595,0.498956992220588,0.371,0.269,1,"2","COX11"
0.00821092632803174,0.419897133618726,0.781,0.763,1,"2","DAZAP2"
0.00842443287378701,0.747419526128744,0.253,0.174,1,"2","PIM2"
0.00857378417673009,0.901612277120134,0.292,0.205,1,"2","NTN1"
0.00873063096447125,0.702564541017927,0.517,0.448,1,"2","GRWD1"
0.00875831967556241,0.709412082191284,0.298,0.215,1,"2","EMC8"
0.0089304668272781,0.353523548455759,0.764,0.716,1,"2","NOLC1"
0.00915910706712162,0.633381753251072,0.59,0.514,1,"2","BRIX1"
0.00929999606528395,0.836037307916169,0.393,0.319,1,"2","FARSA"
0.00947113487487508,0.585059754430765,0.315,0.234,1,"2","IQCA1"
0.00949734708968204,1.13684688690959,0.331,0.25,1,"2","H1FX"
0.00950569097996026,0.673699006214175,0.455,0.368,1,"2","LATS2"
0.00969485144160206,0.511642245612733,0.77,0.735,1,"2","PNN"
0.00979544137063857,0.548574636704137,0.764,0.739,1,"2","OSBPL8"
0.00986106281006893,0.865266342504611,0.416,0.344,1,"2","LRRC41"
0.00995743294918484,0.288160017647884,0.882,0.823,1,"2","IST1"
2.86787497739849e-56,2.49844653164889,0.792,0.235,6.92677843291058e-52,"3","DDX3Y"
3.36041020635315e-40,1.92600467012612,0.958,0.948,8.11639877140476e-36,"3","BMP2"
3.91438750720377e-39,1.60566163409668,0.708,0.218,9.45442014614926e-35,"3","RPS4Y1"
5.00630439980876e-31,6.27020811211345,0.274,0.037,1.20917270168581e-26,"3","DLK1"
3.16935509806798e-30,1.60128286097655,0.887,0.959,7.65494336836358e-26,"3","RTN4"
8.53472825767909e-28,1.08159219826565,0.964,0.992,2.06139291607723e-23,"3","BTG1"
1.22374027214438e-27,1.43208603226694,0.946,0.957,2.95569987931033e-23,"3","FGF2"
1.34930840797686e-27,1.24573876691198,1,0.997,3.2589845977865e-23,"3","MMP3"
1.86998060182554e-27,1.18931348516348,0.976,0.992,4.51656414758923e-23,"3","ERRFI1"
1.09329800575839e-22,1.30638779467784,0.97,0.978,2.64064267330823e-18,"3","C11orf96"
9.24844299542567e-22,0.559119771581697,0.994,0.998,2.23377643668516e-17,"3","TPT1"
9.59980974284721e-22,0.904914523373166,0.923,0.976,2.31864204718989e-17,"3","SLC39A14"
1.27198045811705e-21,1.42423692717526,0.875,0.856,3.07221440049011e-17,"3","P3H2"
1.71164366333804e-21,1.29701742692322,0.851,0.901,4.13413294006036e-17,"3","SFPQ"
2.37469874918058e-21,1.35519384739343,0.875,0.882,5.73560988889585e-17,"3","DDX21"
3.58333101510452e-20,1.46976099698209,0.869,0.89,8.65481940078196e-16,"3","PTRF"
5.41739529840789e-20,0.868505399365544,1,0.996,1.30846348642446e-15,"3","CD55"
7.98538071173832e-19,2.19992458069503,0.708,0.462,1.92870900330616e-14,"3","TGFB1"
1.26375229382822e-18,1.84991600384107,0.952,0.939,3.0523409152833e-14,"3","PTGS2"
1.91621871942694e-18,1.15412518252887,0.982,0.97,4.62824307303189e-14,"3","EMP1"
