"","normal_tissue_1","normal_tissue_2","normal_tissue_3","normal_tissue_4","normal_tissue_5","normal_tissue_6","normal_tissue_7","normal_tissue_8","normal_tissue_9","normal_tissue_10","normal_tissue_11","normal_tissue_12","normal_tissue_13","normal_tissue_14","normal_tissue_15","normal_tissue_16","normal_tissue_17","normal_tissue_18","normal_tissue_19","normal_tissue_20","normal_tissue_21","normal_tissue_22","normal_tissue_23","normal_tissue_24","normal_tissue_25","normal_tissue_26","normal_tissue_27","normal_tissue_28","OA_tissue_1","OA_tissue_2","OA_tissue_3","OA_tissue_4","OA_tissue_5","OA_tissue_6","OA_tissue_7","OA_tissue_8","OA_tissue_9","OA_tissue_10","OA_tissue_11","OA_tissue_12","OA_tissue_13","OA_tissue_14","OA_tissue_15","OA_tissue_16","OA_tissue_17","OA_tissue_18","OA_tissue_19","OA_tissue_20","OA_tissue_21","OA_tissue_22"
"AADAT",5.82942779775805,6.29005663350175,6.5697511870982,5.90179516122135,6.55911658500503,6.51519046293893,6.55551357169842,6.7704745292778,7.19299431459905,6.57087613213147,6.71018779699685,6.51969084731276,6.32104792333462,6.59304387856826,3.10723006930734,5.51220853318433,6.08212887579191,6.89857820959404,6.7193457320731,6.43325982455511,6.57173750892135,6.54525126417978,6.35300460457867,6.18741922321806,5.81251144991036,6.65741767411644,6.82578200439307,5.92345313682492,6.11516254164399,6.33142574774018,6.19638423727563,6.75582504470562,6.2982389006511,5.66484131749056,6.36777297899613,6.24864975946197,6.18258008623134,5.69478114934054,6.21533760613618,6.55088663551236,5.76033375939146,6.35902778372819,5.40658848485214,6.38530090772247,5.98371554440764,5.88310751607497,6.63145176661167,7.06383894286739,5.79725904092107,6.54345782734597
"AAED1",6.45248780422131,7.39090286516147,7.33369360120178,7.3878350159116,7.08401182278075,7.22630797857969,7.75919333345541,7.31608028648085,7.78751213344105,7.58619297673255,6.24223340568543,7.16479591978741,7.29030050960104,6.46491843340085,7.82927215977533,7.43438861160599,7.51194901842658,6.15977155283973,7.58216280232098,7.80539199701682,7.04218577532568,7.22420919123698,4.83317418202393,5.54059010496389,5.81251144991036,7.24408507620867,7.06568259489584,6.43190127253135,7.52727743626215,7.86817861379485,7.72633367251871,7.45189446466171,7.40566652102801,8.39275241756645,7.88143136628209,5.43796807265399,6.86254191238486,7.39209210020835,6.99943433017077,6.84298661543849,6.19785623548037,6.88602357573187,5.32204620473158,8.33391201106599,7.82903229110589,8.04064652500016,8.13952309235008,7.98466889690781,8.74719741031949,8.10217544414918
"AAGAB",7.876151057919,8.94959269787179,8.46130099965916,8.8179998015296,8.37866581951214,8.96163052742252,8.74146849976639,8.58672717342793,9.48681614618013,8.63009287840009,8.52654399737353,8.41358349542202,8.47763146889025,8.4479244079308,9.23925069565878,8.26820701786029,9.10198443180002,7.49254520801564,8.88362135981392,9.11398922163414,7.52171485616319,8.5200219319855,8.30074126526066,8.00266894744298,6.66610665204585,8.64857120398804,8.61984778412859,8.79216362497568,8.52619969075204,9.10563404648008,9.03186771884309,8.96624956600106,8.93952088029924,9.23740820700665,8.9251543763064,7.8917219542807,8.86112343738832,8.82596655123089,8.18179330593777,7.85889632544043,8.63841898265428,8.81110879815833,8.01016450448784,9.29213143026343,9.27362230661531,9.53429713221748,9.45671660943382,9.29676965877427,9.49669599455999,9.08624503525133
"AAK1",10.6231103111881,10.9139683706563,10.9430314121435,10.8699562061119,10.8087897153498,11.4587542237117,11.1115846006166,10.8351952465378,10.5000779602917,10.719532869749,10.7821562553674,10.9508519761575,10.3022162310602,11.2053302337212,10.1359317183178,10.3734859140859,10.4369401794751,10.7665280982302,11.2046897904042,10.6240095133889,11.1125748268137,10.5054748141911,10.6581331128224,10.4699452144984,10.7334746523644,11.302091208517,11.2415027388888,11.3032248217777,11.3495749945738,11.2073359295986,11.0081791480876,11.0574298728308,10.978313993428,11.1314899780133,11.0901481227328,11.0342037186564,11.1268617259845,11.3807203365971,10.8560930335558,10.8334669759509,11.0705065322209,11.2230527174362,10.9214595287324,11.0904717541474,10.7142087818255,10.5663548192882,10.7068326564831,10.5823768913591,10.7672433864356,10.8337876859383
"AAMDC",6.55249155629544,9.66715596108644,7.35794728147725,6.26942277941149,7.73531521165893,6.12238408197397,6.51779034484239,6.24739329940327,8.16587900317279,6.3020668678685,6.61056574883444,7.55703604041793,6.79976387443883,6.20518155037128,7.6811227806651,7.6658107581308,7.17381237742815,5.47681268434917,6.55851366933377,7.19778774459496,6.48086124475883,6.98639886024337,5.99192793348931,5.49861025762542,5.48118552740449,7.32901900410656,6.80321303779638,6.1710500719749,6.94181512734443,6.66332698904349,7.00588474608744,6.85405788395477,7.01985209435791,7.3792395208338,6.86086517892282,5.50754980465034,6.65019563631974,6.15759971996706,7.11772753875634,5.90392359045375,5.9428692845826,6.61028754475253,5.13456951378899,7.42565653111807,6.62003020220403,7.30700306261676,6.89988868742031,7.80377313804526,8.34131275978218,6.9387550168076
"AAMP",10.5219606186582,9.65853882706513,9.77509067788466,9.68785004502748,10.0414913291279,9.41389970282466,9.31614122889999,9.99625427315012,9.62926192168753,9.75921454139858,10.3500515164668,9.97298251416618,10.0143582750374,10.0801839055295,9.31650969137457,10.2329414410292,9.43208459164655,10.6269535886107,9.46311620873272,9.87300894188971,9.80108814903972,10.0434245559287,10.7794323123081,11.0135746755886,10.625196106638,9.69955203863911,9.75941247523145,10.1149536808174,10.1925693090032,9.20150012146382,9.44534205404904,9.22043891380738,9.40841626941498,9.31977135463178,9.50957208877017,10.4084785920621,10.1679572144157,9.52560846317619,9.86186998694258,9.77132540498646,10.0658615218706,9.94270553920261,10.7764543560169,8.50763626693408,9.47853237637559,9.4769670856232,9.35338233837829,8.99542091463888,8.92175823628285,9.35327911451168
"AAR2",9.42460774923689,8.48318131908095,8.74617234332668,8.75987394157947,8.80762322813097,8.8335116346903,8.74349598661535,8.72824286410706,8.7034467139021,8.70899567478112,9.34480904298903,8.86223422347415,8.70614628719938,9.25304455648052,7.96357863481729,8.3233935702088,8.08904474354262,9.34816221041084,8.88716545846281,8.59719113767957,8.89961974686136,8.83340559929405,9.59504361756968,9.92010726697024,9.56173918421605,8.75299840787309,9.09823574115274,9.33319017660534,8.05731523169157,8.56101876239876,8.50940064127316,8.72002373559928,8.77579713609646,8.51437615752454,8.46798408200562,9.96493172499811,9.18662158699889,8.83357789065239,8.31938269148182,9.38154342760272,8.83400752028277,9.30781266699855,9.97111323069028,8.30280666758959,8.89092013977331,8.91813001418861,8.96314791537215,8.22628725934794,8.66670433616758,8.55881030461769
"AARS",11.0407352191942,10.6167527072931,10.2931619079387,10.6832749554429,10.6249960487065,10.4694125558029,10.3674075665532,10.6402207504177,10.3678419806214,10.5789688454237,11.0050917570917,10.5992721070459,10.9183382310006,10.989702715047,9.76539054229353,9.97758705138167,10.0240673844574,10.1766548497418,10.0025064488869,10.3677505390136,9.87075360214528,10.4858737781752,10.7473492047406,10.7988490955106,10.3782857344782,10.4583376288463,10.6045754373073,10.6272025672779,10.479611221422,10.137778339171,10.0327514043352,10.1869544904094,10.0010727476715,10.056682633836,10.1128811132894,11.2877935398824,10.6978375713178,10.0674811402231,9.96850121150325,11.4407173970885,10.8621703202566,10.9523991219148,11.1045346509571,9.49980960957494,10.399715316191,10.145057928754,10.144687780141,9.71628172406219,9.59338578838422,10.0436350781884
"AARS2",9.62815583093183,8.30018132086766,8.34504050691397,8.9342452487012,8.50726895505508,8.01362225881818,7.8372939981515,9.02348267548215,9.27195418369727,8.60452291007054,9.68934151854123,8.58222041026458,9.30459442089246,9.4309717574983,9.18534500063549,8.91461112678835,8.17298699282794,10.2187097756783,8.03976967627735,7.64608412733897,9.31053496655808,8.77494978443053,10.0577219695588,10.3752016675073,10.2221381210176,8.26511294093745,8.5315643968113,8.53512310666729,7.35737574676294,8.00019389367329,7.9143751938008,8.29904296302268,8.21826271337057,7.73381925077125,8.14206758990012,9.86800530676947,8.59703649720249,8.08390159038498,8.98592986284437,9.80541977805824,8.98229751841065,8.68502335834326,9.74654135523908,7.36660196331826,7.19806739510835,7.53610721390936,7.55334996818276,7.31034188997196,7.14857726561538,7.77370610490435
"AARSD1",8.98195197130027,8.08020665183576,7.52999065743647,8.2908329675774,8.14684550227703,7.31676647863297,7.26048605585792,8.34845910050044,8.28554053829607,8.32965796012364,8.92398829387815,8.1713326734518,8.65344245040121,8.19098289117458,8.77513915235045,9.21364507531336,8.0745659749134,8.81878500903887,7.14520187424592,8.231191192248,8.20558087516874,7.96178531411347,8.78229905214991,8.93955040016573,8.72167882159027,7.57226627670144,7.66950473208253,7.95069083338442,6.78929249551934,7.15256691746402,7.30441710422204,7.35185846476407,7.14488424257017,7.17249131563001,7.31590524677154,8.70734488339642,8.56067390456306,7.89296671865734,7.75820904362319,9.19863896765587,7.95578386422772,7.91777383206031,8.33319331298207,7.57799395689541,7.61242931328516,7.69861639165303,7.7360620583588,7.55376985548226,7.46367371933891,7.39717922203239
