"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.57424931730086e-58,9.21005494357401,0.286,0.004,2.07093843760768e-53,"9","ROPN1"
8.45182780711981e-35,7.94045713677067,0.786,0.147,2.04136997025365e-30,"9","MMP13"
2.55331070933696e-51,7.45475340098226,0.548,0.036,6.16701135626156e-47,"9","MATN4"
9.03744649863041e-34,6.85858150632904,0.476,0.044,2.1828144528142e-29,"9","IL17B"
1.52865521134168e-45,6.49255185273252,0.714,0.081,3.69216093195356e-41,"9","ALPL"
7.97903985461686e-25,6.30358772719589,0.357,0.034,1.92717749608561e-20,"9","CAPN6"
3.99120171789317e-38,6.20114667625592,0.405,0.026,9.63994950922738e-34,"9","SMPD3"
1.81766849634421e-23,6.12915368669603,0.929,0.404,4.39021471922017e-19,"9","COL10A1"
9.32355736140772e-23,5.99015690669079,0.262,0.019,2.25191880950081e-18,"9","IRX3"
1.23669808809978e-16,5.95399840015222,0.333,0.046,2.98699689218741e-12,"9","CA12"
