"","GSM1248759","GSM1248760","GSM1248761","GSM1248762","GSM1248763","GSM1248764","GSM1248765","GSM1248766","GSM1248767","GSM1248768","GSM1248769","GSM1248770","GSM1248771","GSM1248772","GSM1248773","GSM1248774","GSM1248775","GSM1248776","GSM1248777","GSM1248778","GSM1248779","GSM1248780","GSM1248781","GSM1248782","GSM1248783","GSM1248784","GSM1248785","GSM1248786","GSM1248787","GSM1248788","GSM1248789","GSM1248790","GSM1248791","GSM1248792","GSM1248793","GSM1248794","GSM1248795","GSM1248796","GSM1248797","GSM1248798","GSM1248799","GSM1248800","GSM1248801","GSM1248802","GSM1248803","GSM1248804","GSM1248805","GSM1248806","GSM1248807","GSM1248808"
"AADACL2",2.02677593242798,6.79843677091766,1.91875343127412,3.57214068586863,4.60692151421706,2.51647561052749,4.1759402579508,3.02163032860554,3.56365546950899,5.2251159007509,4.64410944743331,3.73492304278239,4.12346338331961,1.95666749189731,3.38140014405799,3.74926593195061,3.87307409447173,3.15511158553412,2.73322366356859,1.86010660760472,5.80400941362656,4.49975521688531,4.01476877879589,4.27632896147238,2.86098625520904,3.11125145493588,3.65224648495186,4.4973433317527,2.88557132638151,4.20225695087949,4.85516973543334,3.7919569659358,3.73851543096335,3.71967351243928,4.00520537208752,4.04157422924251,3.43072994674257,4.49789246174827,4.09834592299726,4.484090386831,1.96354183138118,3.76103648580046,3.13624086342792,2.05570187330073,3.56093788947697,3.54513450010352,3.95213417620745,2.02611182440139,4.34540530404095,4.56964604153603
"AADACL3",9.156092287211,8.69955421836518,9.17459131321339,9.02836336013812,8.69327562598417,9.102360380876,9.18784910820234,9.37434022601637,9.09563368081103,8.51145991236789,9.27144278864792,8.80250566439557,9.27067345647969,8.76289436790544,9.14426264630785,9.26858217324343,9.3151350018324,9.65898547895437,9.80790689641731,9.8179482833479,9.64110584442225,10.1006433319642,9.45468434118151,9.36810722661177,9.93768730420902,10.0314185014024,9.52811400115255,9.5084409150817,9.2845103596272,9.19003644380385,9.18272382543372,8.52635681547477,9.28893873742144,9.14259946551715,8.55352899380661,9.31980703129671,9.40612948860057,9.7184621425373,9.65920543992203,9.31666007217713,9.68813769416028,8.62307009336873,9.30088333804645,9.20228802786569,10.0713357091241,10.0010246871336,8.87248256017735,8.53348226029113,9.17791067251257,9.40239325995011
"AADACL4",4.49842338691662,4.90788099829332,4.08308197271466,4.14663195052779,4.46725880186237,4.72021696878113,4.13853797002741,3.7781439052512,4.09739740636226,4.32091932728738,3.87701760724966,4.05446010862874,4.09215435541359,3.97459051109734,3.93299721999861,3.75787109861443,4.02254027891553,3.70612202485326,5.11220256145585,4.39673767586934,3.92576964096484,4.14511148894734,3.5550126511592,4.34134358465161,4.06373267095627,3.73297225099808,3.69597544540651,3.98022517475028,3.96685720527152,3.31346208758739,3.94997357075359,4.3225679947572,4.18605825894644,4.30929363770542,4.36883465620129,4.11676033259154,4.46048294495294,4.06963355505453,3.95167751289133,4.1712741443112,4.0533165782111,4.29863913199683,4.48317000598914,4.48276083834384,3.73248114270621,4.08660163475074,3.98022517475028,4.26376596824883,4.04259755944797,4.07426743939008
"AADAT",7.81017834673417,6.90078752884623,7.97883839312911,7.30720694550394,7.21434719149264,8.22108799904694,7.39870829216329,7.34143140572156,7.43274814473243,7.19549850030847,8.20079639665542,8.27099116168394,8.35213756478853,8.76480482061543,8.51036666456828,8.22685889606574,7.99261928806647,8.39185307957622,8.13348251539797,8.35142311432375,8.15987181150218,8.04181667830199,8.43070433247342,7.91176968986339,7.63674015560394,7.3400182192691,8.6904647251918,8.64898765821151,8.68414516439685,8.60208018299237,8.45121560568772,8.44471968809284,8.54216263929909,8.38690947126734,8.68258001270382,9.03106401578287,8.09061099369883,8.1311020107824,9.01049174447802,9.17010541131319,8.60885611409089,9.70645144927372,8.42002486349744,8.47850500161389,8.30417913305116,8.27049435595012,8.85037377008372,9.25022103029794,9.18561197510629,7.30268662478734
"AAGAB",11.7477666743273,11.7551831375051,10.7896031482017,10.9341652039438,11.2775884071644,11.5338258059395,11.5714280282327,10.9595680067184,10.9991819146462,11.2125410743398,10.6963500994317,10.0398127449437,10.5630330852557,10.6975745184525,10.2840313609962,10.7801941351983,10.6404560194502,10.6335506486976,10.7156581522947,10.7972292562992,10.6495905678966,11.2957823697074,10.4814856072853,10.9956836801758,10.8583455949391,10.9804989283261,10.7454247601228,10.896008031182,10.7881856994183,11.1296919831007,11.0159151302171,11.282996293893,11.4104752896416,11.2300309177833,11.2107500666887,11.5946201820723,11.4826549517247,10.8130281204667,11.4408640850089,11.4779302916361,11.107797355272,11.5574718307076,11.4463313303245,10.8009024941001,11.5119775819464,11.5642259014509,11.5308279108875,11.4400464222233,11.4421207816521,11.5655542420716
"AAK1",11.2601379852668,11.0195125055809,11.2708816231397,11.3876177961762,11.6801996404366,11.4428442211933,11.1566618340943,11.3333613877712,11.452068503915,11.9092633801792,11.6499169233689,11.482245941117,11.4960666986012,11.4168343947955,11.6696241469641,11.4751318213997,11.3233073082069,12.0702429508165,11.5209376521439,11.5344208539231,11.3597876850771,11.3355356228731,11.4533031364211,11.2557615687974,11.5825141715842,11.6058201096507,11.8470880575772,11.7946647029543,11.8561001470039,11.7644858750262,11.4408640850089,11.1248654923019,11.2205406935684,11.1719641196096,11.373769958842,11.3975251816059,11.2740664696426,11.2402344272477,11.4404217567989,11.3943392813542,11.5477145434716,11.3706316807125,11.1577349182592,11.3702137520855,11.6553057847807,11.5849192349181,11.6171045933563,11.5854722979856,11.5820512649834,10.8946966904324
"AAMP",11.7149630847193,11.3989310380039,10.9922801692741,10.8301458181224,10.7715838088942,11.6757625848524,11.5442042296417,11.0707733347628,10.3173331508845,10.6830127484339,10.9881188848578,10.890903741083,11.2180019731461,10.7888281879616,10.6883045042881,10.7791981266019,11.3092012739349,10.5582891220319,11.0840873938817,11.0911083846284,11.2687084012637,10.7701499222793,11.1325481457271,11.1271103578371,9.92914144727326,10.5381983416024,10.9428498441821,10.9533246061438,10.7451039192354,10.8599917769305,10.5979010608586,10.5156577283179,10.5837632279675,10.6830618604813,10.4246857371717,10.4997867056346,11.1619519361564,10.5153977352518,10.5422235747934,10.4473956978962,10.7416515488324,10.6883045042881,10.0059473916656,10.8098509355625,8.98435039496339,9.03294577685223,10.6092926698634,10.8996037838901,10.5348402568731,9.95881801238259
"AANAT",6.16376406135972,6.71888355385996,5.35841081679635,5.62264754231423,5.40198555800281,6.14724912722366,6.14750203403428,5.76742207607088,5.656867605038,5.44644502076419,5.67022713518932,5.41365390473833,5.52339496502648,5.4177380908542,5.46814152161893,5.77943119038145,5.04265283056284,5.61354831215402,5.55139950007028,5.36032500480063,5.77242428914611,5.99492857972719,5.95124570207215,6.04087552175282,5.54475707216597,6.23848826229985,5.06282735242467,5.79023867647695,5.06435340050035,5.61126398190016,6.25199033320109,7.32008694873024,9.05664391313346,7.39618509428758,6.24666295713699,7.86887399899918,5.971905178639,5.70806556285907,6.61052835347218,8.15563626837121,5.65429693425766,5.77190834996024,6.47820414862568,5.72554040141737,5.56591405652552,6.35234288578265,6.12953192882706,4.78470545938082,5.48836012334503,13.9407149874393
"AARS",9.68080362895131,10.0192304301502,9.40760699535769,9.34301898589271,9.02829272799642,9.57994657206575,10.0594015214009,9.20475525693128,9.29251961245318,9.17696414962702,9.78470879970883,9.89901384745943,9.20542924088638,9.34067932272958,9.04628431243354,9.37835062559957,9.40384737349343,9.56223210986736,9.65123597184991,9.47908415587864,10.0587133125866,9.43608342848691,9.78606788672443,9.73719216150671,8.30888552734446,8.76814308400146,9.26196945317282,9.15572917479477,9.04590491062781,9.36256721981809,9.73878630953785,9.87987884767061,8.96640569271283,9.43909902459115,9.56545588766185,9.20952680843697,9.44558269829705,9.20827607133817,9.36327120849071,8.68710659838808,9.44590296195861,9.31391842776399,9.11753602609145,9.38837424280696,7.5787216573571,7.95738344274767,9.58682082749882,9.8109018901489,9.14807934899964,9.11315937834418
"AARS2",9.91653683054128,9.71493021565569,10.1387184729358,9.76421678024549,9.97611525249099,9.902771833238,9.92299851784437,9.94972008406182,10.1181146714529,10.1126992988492,10.5654864305605,10.3260450516468,10.4133739182784,10.095371863132,10.4403353369622,10.131298008958,10.2176759375804,10.6935068915242,10.5758084910636,10.808217572271,10.6989641415694,10.3759676439463,10.5834405729253,10.2125226016586,10.2082026960572,10.1930643155249,10.3248578386059,10.3407487268524,10.2217162487194,10.0347492916959,10.5471840026642,9.74718384434747,9.86373175280077,10.0532096539442,9.7907217394187,9.93295800669147,10.3106655177396,10.3361982353404,10.1252951893329,9.7482328732196,10.3254029451787,9.83938116117242,10.1147056890542,10.4871253232807,9.77232768426829,9.94687283987548,9.85289214306219,9.73963233734245,10.0967700610157,9.16151426632285
